'Average air temperature above sea ice (degrees in Celcius)','Average water temperature below sea ice (degrees in Celcius)','Global Annual Mean CO2','CO2 ppm, 20 Year Smoothed',CO2-GRF,CH4-GRF,N2O-GRF,CFC12-GRF,CFC11-GRF,15-minor-GRF,Total-GRF,'CO2-eq (ppm) Total','AGGI 1990 = 1','AGGI \% change *','Global Mean CO2 NOAA ppm','Urban population (\% of total)','Urban population','Urban population growth (annual \%)','Population, total','Population growth (annual \%)','Improved sanitation facilities (\% of population with access)','Improved water source (\% of population with access)','Improved water source, urban (\% of urban population with access)','Improved water source, rural (\% of rural population with access)','Mortality rate, under-5 (per 1,000 live births)','Primary completion rate, total (\% of relevant age group)','School enrollment, primary and secondary (gross), gender parity index (GPI)','Agriculture, value added (\% of GDP)','CPIA public sector management and institutions cluster average (1=low to 6=high)','Population in urban agglomerations of more than 1 million (\% of total population)','Nitrous oxide emissions (\% change from 1990)','Nitrous oxide emissions (thousand metric tons of CO2 equivalent)','Methane emissions (\% change from 1990)','Methane emissions (kt of CO2 equivalent)','Total greenhouse gas emissions (\% change from 1990)','Total greenhouse gas emissions (kt of CO2 equivalent)','Other greenhouse gas emissions (\% change from 1990)','Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)','CO2 emissions from solid fuel consumption (\% of total)','CO2 emissions from solid fuel consumption (kt)','CO2 emissions (kg per 2011 PPP $ of GDP)','CO2 emissions (kg per PPP $ of GDP)','CO2 emissions (metric tons per capita)','CO2 emissions from liquid fuel consumption (\% of total)','CO2 emissions from liquid fuel consumption (kt)','CO2 emissions (kt)','CO2 emissions (kg per 2010 US$ of GDP)','CO2 emissions from gaseous fuel consumption (\% of total)','CO2 emissions from gaseous fuel consumption (kt)','CO2 intensity (kg per kg of oil equivalent energy use)','Energy use (kg of oil equivalent per capita)','Electric power consumption (kWh per capita)','Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)','Renewable energy consumption (\% of total final energy consumption)','Electricity production from renewable sources, excluding hydroelectric (\% of total)','Electricity production from renewable sources
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(294.5-304.3]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(294.5-304.3]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(294.5-304.3]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(294.5-304.3]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(294.5-304.3]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(304.3-314.1]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'',?,'\'(-inf-3897351911]\'',?,?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(-inf-36.066481]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(50.668939-inf)\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.756042-2.988887]\'','\'(-inf-3897351911]\'','\'(-inf-1.364626]\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(-inf-36.066481]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(50.668939-inf)\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(-inf-9.939207]\'','\'(-inf-36.71657]\'',
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.988887-inf)\'','\'(-inf-3897351911]\'','\'(1.550253-1.735881]\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(36.066481-39.236071]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(46.508611-50.668939]\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(-inf-9.939207]\'','\'(-inf-36.71657]\'',
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.988887-inf)\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(36.066481-39.236071]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(46.508611-50.668939]\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(-inf-9.939207]\'','\'(-inf-36.71657]\'',
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.988887-inf)\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(36.066481-39.236071]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(46.508611-50.668939]\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(-inf-9.939207]\'','\'(-inf-36.71657]\'',
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(-inf-10.967788]\'','\'(-inf-1990447.6]\'',?,?,'\'(-inf-3.450233]\'','\'(36.066481-39.236071]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(46.508611-50.668939]\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(9.939207-10.185329]\'','\'(-inf-36.71657]\'',
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(10.967788-13.066757]\'','\'(-inf-1990447.6]\'',?,?,'\'(3.450233-3.838203]\'','\'(39.236071-42.405661]\'','\'(-inf-4841384.6192]\'','\'(-inf-14678352.6744]\'','\'(0.768578-inf)\'','\'(42.348282-46.508611]\'','\'(-inf-6967399.7424]\'','\'(2.85569-inf)\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(9.939207-10.185329]\'','\'(-inf-36.71657]\'',
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(10.967788-13.066757]\'','\'(-inf-1990447.6]\'',?,?,'\'(3.450233-3.838203]\'','\'(39.236071-42.405661]\'','\'(4841384.6192-6579306.4644]\'','\'(-inf-14678352.6744]\'','\'(0.699016-0.768578]\'','\'(42.348282-46.508611]\'','\'(-inf-6967399.7424]\'','\'(2.749889-2.85569]\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(9.939207-10.185329]\'','\'(-inf-36.71657]\'',
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(154.66-inf)\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(10.967788-13.066757]\'','\'(-inf-1990447.6]\'',?,?,'\'(3.450233-3.838203]\'','\'(42.405661-45.575251]\'','\'(4841384.6192-6579306.4644]\'','\'(-inf-14678352.6744]\'','\'(0.699016-0.768578]\'','\'(38.187954-42.348282]\'','\'(-inf-6967399.7424]\'','\'(2.749889-2.85569]\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(9.939207-10.185329]\'','\'(36.71657-37.404951]\'',
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(314.1-323.9]\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(126.62-154.66]\'',?,?,?,?,'\'(-inf-15.712933]\'',?,?,?,?,?,?,?,?,'\'(10.967788-13.066757]\'','\'(-inf-1990447.6]\'',?,?,'\'(3.450233-3.838203]\'','\'(42.405661-45.575251]\'','\'(4841384.6192-6579306.4644]\'','\'(-inf-14678352.6744]\'','\'(0.699016-0.768578]\'','\'(38.187954-42.348282]\'','\'(-inf-6967399.7424]\'','\'(2.749889-2.85569]\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,?,'\'(-inf-1918.701242]\'',?,?,'\'(10.185329-10.43145]\'','\'(36.71657-37.404951]\'',
'\'(14.7306-15.0414]\'','\'(15.3156-15.6264]\'',?,'\'(323.9-inf)\'',?,?,?,?,?,?,?,?,?,?,'\'(-inf-333.618]\'','\'(-inf-37.61806]\'','\'(-inf-1600314542.4]\'','\'(2.523197-2.756042]\'','\'(-inf-3897351911]\'','\'(1.921508-inf)\'',?,?,?,?,'\'(126.62-154.66]\'','\'(-inf-77.49288]\'','\'(-inf-0.827856]\'',?,?,'\'(-inf-15.712933]\'',?,'\'(-inf-2323401.64]\'',?,'\'(-inf-5719157.3124]\'',?,'\'(-inf-31715853.606]\'',?,'\'(-inf-4545048.4328]\'','\'(10.967788-13.066757]\'','\'(-inf-1990447.6]\'',?,?,'\'(3.838203-4.226173]\'','\'(42.405661-45.575251]\'','\'(6579306.4644-8317228.3096]\'','\'(14678352.6744-19970912.5058]\'','\'(0.768578-inf)\'','\'(38.187954-42.348282]\'','\'(-inf-6967399.7424]\'','\'(2.749889-2.85569]\'',?,?,?,?,?,'\'(-inf-288432000000]\'',?,?,?,?,?,?,?,'\'(-inf-1.329943]\'','\'(-inf-1918.701242]\'',?,?,'\'(10.185329-10.43145]\'','\'(36.71657-37.404951]\'',
